Timestamp,Event name,Question 0,New_Invited_nb,New_Invited_W,New_Instructor_nb,New_Instructor_W,New_Org_nb,New_Org_W,New_SciCom_nb,New_SciCom_W,Question 1,Question 2,Question 3,Question 4,Question 5,KeepInformed
7/8/2016 10:11:07,Edinburgh.EvolutionaryQuantGenetics.Oct31-Nov4,Yes,1,0,,,3,1,,,Yes,No,No,,Yes,
7/8/2016 10:30:02,Vienna.PopulationGenetics.Oct31-Nov1,Yes,8,1,,,10,5,,,Yes,No,No,"I am in fact not at all the sole organiser, I'm
rather the ""meeting office"". The organisers are the students of our
PhD grad school (backed up by 2 male faculty members).

Whole student organising committee:
5 female PhD students
5 male PhD students",Yes,Yes
7/8/2016 12:29:59,MathVillage_Turkey.QuantEvolBiol.Sep18-25,No,4,2,9,6,3,1,2,0,Yes,Yes,No,"There were no EO guidelines imposed or suggested to us, but as the organisers on our own decision we aimed 

i) an exact 50-50% gender ratio in the keynote speakers. That was slightly difficult this year and we experienced many negative returns (3 female declined our offer whereas 1 male declined our offer).

ii) a rough 50-50% gender ratio in the instructors. Initially we had 6 female, 5 male; but recently 2 male instructors canceled their participation.

iii) Initially we were 2 male organisers which bothered us for gender representation issues. So, we invited a female scientist to join us in the organising committee.

",Yes,Yes
7/8/2016 14:52:45,Paris.Mutualism.May30-31,No,12,7,,,3,3,,,Yes,Yes,No,[I was given full rein to invite whoever I wanted to this small workshop. No one suggested any guidelines at all. In the end we decided to make sure that we had at least a reasonable number of men because the invite list was strongly female-biased.],Yes,Yes
7/8/2016 15:53:11,ColoradoStateU.GenomicsOfAdaptation.Jul30,Yes,3,1,,,3,2,,,Yes,Yes,No,,Yes,Yes
7/8/2016 16:27:36,PortoAlegre_Brazil.HierarchicalPopModeling.Oct9-15,No,2,0,,,5,0,,,Yes,No,No,,Yes,Yes
7/8/2016 16:27:52,PortoAlegre_Brazil.HierarchicalPopModeling.Oct9-15,No,2,0,,,5,0,,,Yes,No,No,,Yes,Yes
7/8/2016 17:50:34,UMontreal.RECOMB.Oct11-14,Yes,5,2,,,10,3,29,8,Yes,Yes,Suggested,A minimum of 2 out of 5 invited speakers.,Yes,
7/8/2016 19:57:54,Ankara.EcolEvolBiology.Aug31-Sep3,Yes,4,2,,,11,4,21,5,Yes,Yes,No,,Yes,Yes
7/8/2016 21:06:54,LakeArrowhead_California.MicrobialGenomes.Sep18-22,Yes,31,15,,,5,3,,,Yes,Yes,No,,Yes,Yes
7/9/2016 14:41:50,Villars_sur_Ollon_Switzerland.EvolNoncodingRNA.Sept12-14,Yes,10,3,,,3,2,,,Yes,No,No,,,Yes
7/9/2016 19:53:05,Toronto.MappingGenomicFeaturesClinicalTraits.Jul18-Jul19,Yes,,,2,0,,,,,Yes,No,No,,Yes,Yes
7/9/2016 22:37:02,Paris.ExperimentalEvolution.Nov7-11,No,7,0,,,1,0,,,Yes,No,No,,Yes,Yes
7/10/2016 0:44:48,London.EvolutionaryConflict.Jun8,Yes,9,5,,,4,0,,,Yes,Yes,No,,Yes,Yes
7/11/2016 3:17:50,UTennessee_Knoxville.NIMBioSTutorial.EvolQuantGenetics.Aug8-12,No,8,2,,,2,0,,,Yes,Yes,No,,Yes,Yes
7/11/2016 12:29:54,Oviedo_Spain.AlertTools,Yes,5,3,,,8,5,10,5,No,No,No,,Yes,Yes
7/11/2016 15:07:51,Lausanne.PopulationGenomicsInR.Aug22-26,Yes,,,3,0,1,1,,,No,No,No,"This is essentially a course, not a workshop. It is developed around 3 R packages, the authors of which are all males. But your email made me realize that other packages, developed by women could have been presented, and I will certainly pay more attention to this question next time I am organizing such a course. ",Yes,
7/12/2016 14:59:14,Gotland.PhdStudentsEvolBiol.Sep11-15,Yes,9,6,,,9,5,,,Yes,Yes,No,,Yes,Yes
